Name,Categories,Mypafway Categories,Mypafway Sub Categories,Make,Model,Year,Short Description,Long Description,Price,Meta Title,Meta Description,Meta Keywords,Tags,Images
MacBook,Home,,,2012,12,2015,"<p>MacBook makes it easy to hit the road thanks to its tough polycarbonate case, built-in wireless technologies, and innovative MagSafe Power Adapter that releases automatically if someone accidentally trips on the cord.</p>","<p>MacBook makes it easy to hit the road thanks to its tough polycarbonate case, built-in wireless technologies, and innovative MagSafe Power Adapter that releases automatically if someone accidentally trips on the cord.</p>",1170.568561,,,"greddy, sports, oil, filter","apple, superdrive",http://www.rightdriveparts.com/20/macbook.jpg
iPod touch,Home,,,,,,"<ul>
<li>Revolutionary Multi-Touch interface</li>
<li>3.5-inch widescreen color display</li>
<li>Wi-Fi (802.11b/g)</li>
<li>8 mm thin</li>
<li>Safari, YouTube, Mail, Stocks, Weather, Notes, iTunes Wi-Fi Music Store, Maps</li>
</ul>","<ul>
<li>Revolutionary Multi-Touch interface</li>
<li>3.5-inch widescreen color display</li>
<li>Wi-Fi (802.11b/g)</li>
<li>8 mm thin</li>
<li>Safari, YouTube, Mail, Stocks, Weather, Notes, iTunes Wi-Fi Music Store, Maps</li>
</ul>",241.638796,,,"mitsubishi, pajero",Ipod touch,http://www.rightdriveparts.com/24/ipod-touch.jpg
Shure SE210 Sound-Isolating Earphones for iPod and iPhone,,,,,,,"<p>Evolved from personal monitor technology road-tested by pro musicians and perfected by Shure engineers, the lightweight and stylish SE210 delivers full-range audio that's free from outside noise.</p>","<p>Evolved from personal monitor technology road-tested by pro musicians and perfected by Shure engineers, the lightweight and stylish SE210 delivers full-range audio that's free from outside noise.</p>",124.58194,,,,,http://www.rightdriveparts.com/36/ecouteurs-a-isolation-sonore-shure-se210-blanc.jpg
Greddy Sports Oil Filter RB 13901103,"Home,1. Engine Parts,1. Engine Parts,Engine,Engine,Engine,Engine",Oil Filters & Accessories,Oil Filters,Nissan ,Skyline,95-99,<p><span>Greddy Sport Oil Filter for Nissan RB series engines.</span></p>,<p><span>Greddy Sport Oil Filter for Nissan RB series engines.</span></p>,22.99,Nissan Skyline Greddy Oil Filter,"Greddy Sports Oil Filter for RB20DET, RB25DET, RB26DETT","greddy, sports, oil, filter, rb20det, rb25det, rb26dett, nissan, skyline, gt-r, gts-t","Greddy, Sports, Oil, Filter, RB, RB20DET, RB25DET, RB26DETT, Nissan, Skyline, GT-R, GTS-T",http://www.rightdriveparts.com/10-50/greddy-sports-oil-filter-rb.jpg
"HKT Glow Plug 4M40 2.8L Set (Pajero, Delica)","L400 Delica Parts,V26 Pajero Parts,V46 Pajero parts",Ignition Parts,Glow Plugs,Mitsubishi ,Delica,,<p>HKT Glow Plug Set for Mitsubishi Pajero and Delica with the 2.8L 4M40 turbo diesel engine.</p>,<p>HKT Glow Plug Set for Mitsubishi Pajero and Delica with the 2.8L 4M40 turbo diesel engine.</p>,128,Mitsubishi Delica Pajero HKT Glow Plugs,HKT Glow Plug for Mitsubishi 4M40 2.8L Pajero & Delica Engine,"hkt, glow, plug, mitsubishi, 4m40, 2.8l, pajero, delica","HKT, Glow, Plug, Mitsubishi, 4M40, 2.8L, Pajero, Delica",http://www.rightdriveparts.com/11-51/hkt-glow-plug-4m40-28l-set-pajero-delica.jpg
"HKT Glow Plug 4D56 2.5L Set (Pajero, Delica)","1. L300 Delica Parts,V24 Pajero Parts",Ignition Parts,Glow Plugs,Mitsubishi ,Delica,,<p>HKT Glow Plug Set for Mitsubishi Pajero and Delica with the 2.8L 4M40 turbo diesel engine.</p>,<p>HKT Glow Plug Set for Mitsubishi Pajero and Delica with the 2.8L 4M40 turbo diesel engine.</p>,129,Mitsubishi Pajero Delica HKT Glow Plugs,HKT Glow Plug Set for Mitsubishi Pajero and Delica with the 2.5L 4D56 turbo diesel engine.,"hkt, glow, plug, mitsubishi, 4d56, 2.5l, pajero, delica","HKT, Glow, Plug, Mitsubishi, Pajero, Delica, 4D56, 2.5L",http://www.rightdriveparts.com/12-52/hkt-glow-plug-4d56-25l-set-pajero-delica.jpg
"Nissan Skyline GT-R ""GT"" Emblem Set",3.Interior & Exterior,,,Nissan ,Skyline,1988-2012,"<p>Nissan BNR32 Skyline GT-R ""GT""Fender Emblem Set.</p>","<p>Nissan BNR32 Skyline GT-R ""GT""Fender Emblem Set.</p>",85.9,Nissan Skyline GT Emblem,"Nissan Skyline BNR32 GT-R ""GT"" Emblem Set","nissan, skyline, bnr32, gt-r, gtr, gt, emblem, set","Nissan, Skyline, GT-R, BNR32, GTR, GT, Emblem, Set",http://www.rightdriveparts.com/13-53/nissan-skyline-gt-r-gt-emblem-set.jpg
Boshi Filter Set - V46 Pajero 2.8L,"Home,V46 Pajero parts",Oil Filters & Accessories,Oil Filters,Mitsubishi ,Pajero,,<p>Boshi filter set for V46 Pajero with the 2.8L turbo diesel engine.</p>,<p>Boshi filter set for V46 Pajero with the 2.8L turbo diesel engine.</p>,79.99,Mitsubishi Pajero Filter Set,Boshi filter set for V46 Pajero with the 2.8L turbo diesel engine.,"mitsubishi, pajero, oil, air, fuel, filter, set, v46, 2.8l, 4m40, boshi","Oil, Filter, Mitsubishi, 4M40, 2.8L, Pajero, Set, Air, Fuel, V46, Boshi",http://www.rightdriveparts.com/14-54/boshi-filter-set-v46-pajero-28l.jpg
Boshi Filter Set - V26 Pajero 2.8L,V26 Pajero Parts,Oil Filters & Accessories,Oil Filters,Mitsubishi ,Pajero,,<p>Boshi filter set for V26 Pajero with the 2.8L turbo diesel engine.</p>,<p>Boshi filter set for V26 Pajero with the 2.8L turbo diesel engine.</p>,79.99,Mitsubishi Pajero Filter Set,Boshi filter set for V26 Pajero with the 2.8L turbo diesel engine.,"mitsubishi, pajero, oil, air, fuel, filter, set, v26, 2.8l, 4m40, boshi","Oil, Filter, Mitsubishi, 4M40, 2.8L, Pajero, Set, Air, Fuel, Boshi, V26",http://www.rightdriveparts.com/15-55/boshi-filter-set-v26-pajero-28l.jpg
Boshi Filter Set - V24 Pajero 2.5L,V24 Pajero Parts,Oil Filters & Accessories,Oil Filters,Mitsubishi ,Pajero,,<p>Boshi filter set for V24 Pajero with the 2.5L turbo diesel engine.</p>,<p>Boshi filter set for V24 Pajero with the 2.5L turbo diesel engine.</p>,79.99,Mitsubishi Pajero Filter Set,Boshi filter set for V24 Pajero with the 2.5L turbo diesel engine.,"mitsubishi, pajero, oil, air, fuel, filter, set, v24, 2.5l, 4d56, boshi","Oil, Filter, Mitsubishi, Pajero, 4D56, 2.5L, Set, Air, Fuel, Boshi, V24",http://www.rightdriveparts.com/16-56/boshi-filter-set-v24-pajero-25l.jpg
