FPC,AAA,HHH,NHHH,Name,Color,Gender,DBL,Temple,VVV,BBB,JJ,FFF,Eyesize,HG,PPP,,,,,,,,,,,,,,,
409717000011,781096516254,PERC,PERC,CARA,ELLIE BLUE,FEMALE,16,130,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000011,781096516254,PERC,PERC,CARA,ELLIE BLUE,FEMALE,16,130,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000028,781096516810,PERC,PERC,ALYSSA,PORTOBELLO ROAD,FEMALE,15,137,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000028,781096516810,PERC,PERC,ALYSSA,PORTOBELLO ROAD,FEMALE,15,137,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000035,781096517909,PERC,PERC,AUTUMN,DOGWOOD,FEMALE,17,138,8/26/2015,8/26/2015,PERC,CHINA,50,0,A,,,,,,,,,,,,,,,
409717000035,781096517909,PERC,PERC,AUTUMN,DOGWOOD,FEMALE,17,138,8/26/2015,8/26/2015,PERC,CHINA,50,0,A,,,,,,,,,,,,,,,
409717000042,781096517916,PERC,PERC,AUTUMN,ENGLISH ROSE,FEMALE,17,138,8/26/2015,8/26/2015,PERC,CHINA,50,0,A,,,,,,,,,,,,,,,
409717000042,781096517916,PERC,PERC,AUTUMN,ENGLISH ROSE,FEMALE,17,138,8/26/2015,8/26/2015,PERC,CHINA,50,0,A,,,,,,,,,,,,,,,
409717000059,781096517923,PERC,PERC,CHARLOTTE,GO WILD,FEMALE,17,137,8/26/2015,8/26/2015,PERC,CHINA,53,0,A,,,,,,,,,,,,,,,
409717000059,781096517923,PERC,PERC,CHARLOTTE,GO WILD,FEMALE,17,137,8/26/2015,8/26/2015,PERC,CHINA,53,0,A,,,,,,,,,,,,,,,
409717000066,781096517930,PERC,PERC,CHARLOTTE,MIDNIGHT BLUES,FEMALE,17,137,8/26/2015,8/26/2015,PERC,CHINA,53,0,A,,,,,,,,,,,,,,,
409717000066,781096517930,PERC,PERC,CHARLOTTE,MIDNIGHT BLUES,FEMALE,17,137,8/26/2015,8/26/2015,PERC,CHINA,53,0,A,,,,,,,,,,,,,,,
409717000073,781096520718,PERC,PERC,BRANDY,CLEMENTINE,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,50,0,A,,,,,,,,,,,,,,,
409717000073,781096520718,PERC,PERC,BRANDY,CLEMENTINE,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,50,0,A,,,,,,,,,,,,,,,
409717000080,781096520800,PERC,PERC,CARA,LOLA,FEMALE,16,130,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000080,781096520800,PERC,PERC,CARA,LOLA,FEMALE,16,130,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000097,781096522347,PERC,PERC,BRIELLE,AQUA,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000097,781096522347,PERC,PERC,BRIELLE,AQUA,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000103,781096522354,PERC,PERC,BRIELLE,PURPLE,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000103,781096522354,PERC,PERC,BRIELLE,PURPLE,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000110,781096522385,PERC,PERC,AMELIE,BLACK,FEMALE,17,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000110,781096522385,PERC,PERC,AMELIE,BLACK,FEMALE,17,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000127,781096522392,PERC,PERC,AMELIE,BROWN,FEMALE,17,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000127,781096522392,PERC,PERC,AMELIE,BROWN,FEMALE,17,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000134,781096523672,PERC,PERC,ANNABELLE,AFRICAN VIOLET,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000134,781096523672,PERC,PERC,ANNABELLE,AFRICAN VIOLET,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000141,781096523689,PERC,PERC,ANNABELLE,ZIGGY ZINNIA,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000141,781096523689,PERC,PERC,ANNABELLE,ZIGGY ZINNIA,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000158,781096516216,PERC,PERC,BRANDY,DOODLE DAISY,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,50,0,A,,,,,,,,,,,,,,,
409717000158,781096516216,PERC,PERC,BRANDY,DOODLE DAISY,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,50,0,A,,,,,,,,,,,,,,,
409717000165,781096516803,PERC,PERC,ALYSSA,CANYON,FEMALE,15,137,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000165,781096516803,PERC,PERC,ALYSSA,CANYON,FEMALE,15,137,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
409717000172,781096521302,PERC,PERC,ALEXIS,BLACK,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000172,781096521302,PERC,PERC,ALEXIS,BLACK,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000189,781096521319,PERC,PERC,ALEXIS,BROWN HORN,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000189,781096521319,PERC,PERC,ALEXIS,BROWN HORN,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000196,751286079746,PERC,PERC,V111,DARK GUNMETAL,MALE,20,135,8/26/2015,8/26/2015,PERC,CHINA,46,0,A,,,,,,,,,,,,,,,
409717000196,751286079746,PERC,PERC,V111,DARK GUNMETAL,MALE,20,135,8/26/2015,8/26/2015,PERC,CHINA,46,0,A,,,,,,,,,,,,,,,
409717000202,751286079753,PERC,PERC,V111,SHINY SILVER,MALE,20,135,8/26/2015,8/26/2015,PERC,CHINA,46,0,A,,,,,,,,,,,,,,,
409717000202,751286079753,PERC,PERC,V111,SHINY SILVER,MALE,20,135,8/26/2015,8/26/2015,PERC,CHINA,46,0,A,,,,,,,,,,,,,,,
409717000219,751286102468,PERC,PERC,DJ,BLACK,UNISEX,17,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000219,751286102468,PERC,PERC,DJ,BLACK,UNISEX,17,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000226,751286102482,PERC,PERC,DJ,FOREST,UNISEX,17,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000226,751286102482,PERC,PERC,DJ,FOREST,UNISEX,17,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000233,751286141115,PERC,PERC,V132,BLACK,MALE,20,140,8/26/2015,8/26/2015,PERC,JAPAN,51,0,A,,,,,,,,,,,,,,,
409717000233,751286141115,PERC,PERC,V132,BLACK,MALE,20,140,8/26/2015,8/26/2015,PERC,JAPAN,51,0,A,,,,,,,,,,,,,,,
409717000240,751286141122,PERC,PERC,V132,TORTOISE,MALE,20,140,8/26/2015,8/26/2015,PERC,JAPAN,51,0,A,,,,,,,,,,,,,,,
409717000240,751286141122,PERC,PERC,V132,TORTOISE,MALE,20,140,8/26/2015,8/26/2015,PERC,JAPAN,51,0,A,,,,,,,,,,,,,,,
409717000257,751286142556,PERC,PERC,V133,BLACK,MALE,18,140,8/26/2015,8/26/2015,PERC,JAPAN,55,0,A,,,,,,,,,,,,,,,
409717000257,751286142556,PERC,PERC,V133,BLACK,MALE,18,140,8/26/2015,8/26/2015,PERC,JAPAN,55,0,A,,,,,,,,,,,,,,,
409717000264,751286142563,PERC,PERC,V133,BROWN,MALE,18,140,8/26/2015,8/26/2015,PERC,JAPAN,55,0,A,,,,,,,,,,,,,,,
409717000264,751286142563,PERC,PERC,V133,BROWN,MALE,18,140,8/26/2015,8/26/2015,PERC,JAPAN,55,0,A,,,,,,,,,,,,,,,
409717000271,751286227086,PERC,PERC,NEWSPRINT,BLACK,UNISEX,17,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000271,751286227086,PERC,PERC,NEWSPRINT,BLACK,UNISEX,17,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000288,751286227123,PERC,PERC,NEWSPRINT,NAVY,UNISEX,17,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000288,751286227123,PERC,PERC,NEWSPRINT,NAVY,UNISEX,17,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000295,751286228649,PERC,PERC,STENCIL KIT,BLACK,MALE,18,135,8/26/2015,8/26/2015,PERC,CHINA,49,0,A,,,,,,,,,,,,,,,
409717000295,751286228649,PERC,PERC,STENCIL KIT,BLACK,MALE,18,135,8/26/2015,8/26/2015,PERC,CHINA,49,0,A,,,,,,,,,,,,,,,
