FPC Code,Mfg,Frame Name Cat,Color,Material,Mkd A,Mkd DBL,Tpl,,,,,,,,,,,,,,,
409717002244,PERC,TURA 685,GUN/NAVY,METAL,50,17,130,,,,,,,,,,,,,,,
409717002237,PERC,TURA 685,BURGUNDY,METAL,52,17,135,,,,,,,,,,,,,,,
409717002251,PERC,TURA 693,BROWN/AMBER,METAL,52,18,135,,,,,,,,,,,,,,,
409717000776,PERC,L'AMY AMERCIA ASTOR,BLACK/BLACK,METAL,49,17,135,,,,,,,,,,,,,,,
409717000783,PERC,L'AMY AMERCIA ASTOR  02,BROWN/TORTOISE,METAL,49,17,135,,,,,,,,,,,,,,,
409717001032,PERC,L'AMY AMERCIA AT200,BROWN,METAL,51,17,135,,,,,,,,,,,,,,,
409717004361,PERC,ICONIK ANNIE,CO1 RUBY,PLASTIC,53,17,140,,,,,,,,,,,,,,,
409717004378,PERC,ICONIK ANNIE,CO2 TORTOISE,PLASTIC,53,17,140,,,,,,,,,,,,,,,
409717004392,PERC,ICONIK BLAIR,CO2 BLACK,PLASTIC,54,14,140,,,,,,,,,,,,,,,
409717004385,PERC,ICONIK BLAIR,C01 BROWN,PLASTIC,54,14,140,,,,,,,,,,,,,,,
409717004279,PERC,ICONIK COLE,CO4 TORTOISE/BLUE,PLASTIC,53,18,140,,,,,,,,,,,,,,,
409717004262,PERC,ICONIK COLE,CO3 BLACK,PLASTIC,53,18,140,,,,,,,,,,,,,,,
409717004255,PERC,ICONIK COLE,CO2 TAN/HORN,PLASTIC,53,18,140,,,,,,,,,,,,,,,
409717004248,PERC,ICONIK COLE,CO1 GREY,PLASTIC,53,18,140,,,,,,,,,,,,,,,
409717004293,PERC,ICONIK HARRISION,CO2 BLACK,PLASTIC,55,14,145,,,,,,,,,,,,,,,
409717004286,PERC,ICONIK HARRISION,CO1 BROWN GRAIDENT,PLASTIC,55,14,145,,,,,,,,,,,,,,,
409717004231,PERC,MONDOTTICA HEB 131,OLIVE GRADIENT,PLASTIC,52,18,145,,,,,,,,,,,,,,,
409717004224,PERC,MONDOTTICA HEB 131,BLACK GRADIENT,PLASTIC,52,18,145,,,,,,,,,,,,,,,
409717004309,PERC,ICONIK MILES,COL 1 BLACK,METAL,53,19,140,,,,,,,,,,,,,,,
409717000172,PERC,MCGEE ALEXIS,BLACK,PLASTIC,52,16,135,,,,,,,,,,,,,,,
409717000189,PERC,MCGEE ALEXIS,BROWN HORN,PLASTIC,52,16,135,,,,,,,,,,,,,,,
409717000165,PERC,MCGEE ALYSSA,CANYON,PLASTIC,52,15,137,,,,,,,,,,,,,,,
409717000028,PERC,MCGEE ALYSSA,PORTOBELLO ROAD,PLASTIC,52,15,137,,,,,,,,,,,,,,,
409717002268,PERC,TURA 693,GUNMETAL/BLACK,METAL,52,18,135,,,,,,,,,,,,,,,
409717002336,PERC,TURA 697,LAVENDAR,METAL,49,18,135,,,,,,,,,,,,,,,
409717000127,PERC,MCGEE AMELIE,BROWN,METAL,52,17,135,,,,,,,,,,,,,,,
409717004002,PERC,ICONIK COLETTE,CO1 RUBY/BLACK,PLASTIC,50,17,135,,,,,,,,,,,,,,,
409717002329,PERC,TURA 697,BROWN,METAL,49,18,135,,,,,,,,,,,,,,,
409717002220,PERC,TURA 902087,BROWN,METAL,51,18,135,,,,,,,,,,,,,,,
409717002213,PERC,TURA 902087,PURPLE-RED,METAL,51,18,135,,,,,,,,,,,,,,,
409717000110,PERC,MCGEE AMELIE,BLACK,METAL,52,17,135,,,,,,,,,,,,,,,
